band,freq_mhz,direction,waypoint,corridor_km,path_km,rx_lat,rx_lon,itwom_loss_db,terrain_shield_db,dbm_terrain,foliage_summer_db,foliage_leafoff_db,dbm_summer,dbm_leafoff,verdict_terrain,verdict_summer,verdict_leafoff,prop_mode,interpolated
gmrs,462.6,NORTH,1,1.0,0.95,39.8109,-76.3055,108.13,22.79,-59.5,7.9,3.6,-67.4,-63.1,SOLID,SOLID,SOLID,Double Horizon Diffraction Dominant,False
gmrs,462.6,NORTH,2,2.0,1.93,39.8164,-76.3144,139.69,48.19,-91.0,7.9,3.6,-98.9,-94.6,SOLID,SOLID,SOLID,Double Horizon Diffraction Dominant,False
gmrs,462.6,NORTH,3,3.0,2.91,39.8212,-76.3241,121.85,26.81,-73.2,7.9,3.6,-81.1,-76.8,SOLID,SOLID,SOLID,Double Horizon Diffraction Dominant,False
gmrs,462.6,NORTH,4,4.0,4.0,,,,,-82.2,7.9,3.6,-90.0,-85.8,SOLID,SOLID,SOLID,interpolated (ITWOM edge case),True
gmrs,462.6,NORTH,5,5.0,4.8,39.8322,-76.341,139.8,40.41,-91.1,7.9,3.6,-99.0,-94.7,SOLID,SOLID,SOLID,Double Horizon Diffraction Dominant,False
gmrs,462.6,NORTH,6,6.0,5.76,39.8396,-76.3477,155.15,54.18,-106.5,7.9,3.6,-114.4,-110.1,USABLE,MARGINAL,MARGINAL,Double Horizon Diffraction Dominant,False
gmrs,462.6,NORTH,7,7.0,6.61,39.8476,-76.3515,160.02,57.85,-111.3,7.9,3.6,-119.2,-115.0,MARGINAL,DEAD,MARGINAL,Double Horizon Diffraction Dominant,False
gmrs,462.6,NORTH,8,8.0,7.58,39.8552,-76.3578,166.06,62.69,-117.4,7.9,3.6,-125.3,-121.0,MARGINAL,DEAD,DEAD,Double Horizon Diffraction Dominant,False
gmrs,462.6,SOUTH,1,1.0,1.0,39.7985,-76.2899,111.81,26.05,-63.1,7.9,3.6,-71.0,-66.8,SOLID,SOLID,SOLID,Single Horizon Diffraction Dominant,False
gmrs,462.6,SOUTH,2,2.0,2.0,39.7911,-76.2832,120.39,28.61,-71.7,7.9,3.6,-79.6,-75.3,SOLID,SOLID,SOLID,Single Horizon Diffraction Dominant,False
gmrs,462.6,SOUTH,3,3.0,3.0,39.7838,-76.2764,128.65,33.34,-80.0,7.9,3.6,-87.9,-83.6,SOLID,SOLID,SOLID,Single Horizon Diffraction Dominant,False
gmrs,462.6,SOUTH,4,4.0,3.99,39.7764,-76.2697,135.23,37.43,-86.6,7.9,3.6,-94.5,-90.2,SOLID,SOLID,SOLID,Single Horizon Diffraction Dominant,False
